************* New Request *************
************* New Request *************
08/03/2025 20:07:34 Request: 010003FF0104F9
08/03/2025 20:07:34 Response2: 06
08/03/2025 20:07:34 Response1.1: 0100085A0104DF850230300F
************* New Request *************
08/03/2025 20:11:14 Request: 010003FF0104F9
08/03/2025 20:11:14 Response2: 06
08/03/2025 20:11:14 Response1.1: 0100085A0104DF850230300F
************* New Request *************
08/03/2025 20:11:15 Request: 01002DFF0100DF0406000000007000DF610A31ffffffffffffffffffDF8110303030303030303030303030303030331158
08/03/2025 20:11:15 Response1.4: 06
************* New Request *************
08/03/2025 20:13:02 Request: 010003FF0104F9
08/03/2025 20:13:02 Response2: 06
08/03/2025 20:13:02 Response1.1: 0100085A0104DF850230300F
************* New Request *************
08/03/2025 20:13:03 Request: 01002DFF0100DF0406000000007000DF610A31ffffffffffffffffffDF8110303030303030303030303030303030331158
08/03/2025 20:13:03 Response1.4: 06
************* New Request *************
08/03/2025 20:13:26 Request: 010003FF0104F9
08/03/2025 20:13:26 Response2: 06
08/03/2025 20:13:26 Response1.1: 0100085A0104DF850230300F
************* New Request *************
08/03/2025 20:13:26 Request: 01002DFF0100DF0406000000007000DF610A31ffffffffffffffffffDF8110303030303030303030303030303030331158
08/03/2025 20:13:26 Response1.4: 06
************* New Request *************
08/03/2025 20:15:45 Request: 010003FF0104F9
08/03/2025 20:15:45 Response2: 06
08/03/2025 20:15:45 Response1.1: 0100085A0104DF850230300F
************* New Request *************
08/03/2025 20:15:46 Request: 01002DFF0100DF0406000000007000DF610A31ffffffffffffffffffDF8110303030303030303030303030303030331158
08/03/2025 20:15:46 Response1.4: 06
************* New Request *************
08/03/2025 20:17:07 Request: 010003FF0104F9
08/03/2025 20:17:07 Response2: 06
08/03/2025 20:17:07 Response1.1: 0100085A0104DF850230300F
************* New Request *************
08/03/2025 20:17:08 Request: 01002DFF0100DF0406000000007000DF610A31ffffffffffffffffffDF8110303030303030303030303030303030331158
08/03/2025 20:17:08 Response1.4: 06
************* New Request *************
08/03/2025 20:19:53 Request: 010003FF0104F9
08/03/2025 20:19:53 Response2: 06
08/03/2025 20:19:53 Response1.1: 0100085A0104DF850230300F
************* New Request *************
08/03/2025 20:19:54 Request: 01002DFF0100DF0406000000007000DF610A31ffffffffffffffffffDF8110303030303030303030303030303030331158
08/03/2025 20:19:54 Response1.4: 06
